ORGANIZATION_ID,REPORT_ID,REPORTING_DATE,REPORTING_YEAR,REPORT_NAME,REPORT_LINK,YEAR_TYPE
TWDB,2000,08/29/2018,2018,,http://www.twdb.texas.gov/waterplanning/waterusesurvey/estimates/index.asp,Calendar Year
TWDB,2001,08/29/2018,2018,,http://www.twdb.texas.gov/waterplanning/waterusesurvey/estimates/index.asp,Calendar Year
TWDB,2002,08/29/2018,2018,,http://www.twdb.texas.gov/waterplanning/waterusesurvey/estimates/index.asp,Calendar Year
TWDB,2003,08/29/2018,2018,,http://www.twdb.texas.gov/waterplanning/waterusesurvey/estimates/index.asp,Calendar Year
TWDB,2004,08/29/2018,2018,,http://www.twdb.texas.gov/waterplanning/waterusesurvey/estimates/index.asp,Calendar Year
TWDB,2005,08/29/2018,2018,,http://www.twdb.texas.gov/waterplanning/waterusesurvey/estimates/index.asp,Calendar Year
TWDB,2006,08/29/2018,2018,,http://www.twdb.texas.gov/waterplanning/waterusesurvey/estimates/index.asp,Calendar Year
TWDB,2007,08/29/2018,2018,,http://www.twdb.texas.gov/waterplanning/waterusesurvey/estimates/index.asp,Calendar Year
TWDB,2008,08/29/2018,2018,,http://www.twdb.texas.gov/waterplanning/waterusesurvey/estimates/index.asp,Calendar Year
TWDB,2009,08/29/2018,2018,,http://www.twdb.texas.gov/waterplanning/waterusesurvey/estimates/index.asp,Calendar Year
TWDB,2010,08/29/2018,2018,,http://www.twdb.texas.gov/waterplanning/waterusesurvey/estimates/index.asp,Calendar Year
TWDB,2011,08/29/2018,2018,,http://www.twdb.texas.gov/waterplanning/waterusesurvey/estimates/index.asp,Calendar Year
TWDB,2012,08/29/2018,2018,,http://www.twdb.texas.gov/waterplanning/waterusesurvey/estimates/index.asp,Calendar Year
TWDB,2013,08/29/2018,2018,,http://www.twdb.texas.gov/waterplanning/waterusesurvey/estimates/index.asp,Calendar Year
TWDB,2014,08/29/2018,2018,,http://www.twdb.texas.gov/waterplanning/waterusesurvey/estimates/index.asp,Calendar Year
TWDB,2015,08/29/2018,2018,,http://www.twdb.texas.gov/waterplanning/waterusesurvey/estimates/index.asp,Calendar Year
TWDB,2016,08/29/2018,2018,,http://www.twdb.texas.gov/waterplanning/waterusesurvey/estimates/index.asp,Calendar Year
